code,name,date
098120,마이크로컨텍솔,2008-09-23
009520,포스코엠텍,1997-11-10
095570,AJ네트웍스,2015-08-21
006840,AK홀딩스,1999-08-11
282330,BGF리테일,2017-12-08
027410,BGF,2014-05-19
138930,BNK금융지주,2011-03-30
001465,BYC우,1989-09-05
001460,BYC,1975-06-02
001045,CJ우,1989-08-18
00104K,CJ4우(전환),2019-08-09
001040,CJ,1973-06-29
011155,CJ씨푸드1우,1990-01-13
011150,CJ씨푸드,1988-11-26
058820,CMG제약,2001-08-31
000590,CS홀딩스,1975-12-22
012030,DB,1993-01-06
016610,DB금융투자,1988-06-27
005830,DB손해보험,1973-06-28
000990,DB하이텍,1975-12-12
139130,DGB금융지주,2011-06-07
001530,DI동일,1964-01-04
000215,DL우,1989-08-21
001880,DL건설,1977-12-22
000210,DL,1976-02-02
37550K,DL이앤씨우,2021-01-25
37550L,DL이앤씨2우(전환),2022-04-28
375500,DL이앤씨,2021-01-25
155660,DSR,2013-05-15
069730,DSR제강,2003-01-28
017940,E1,1997-08-27
365550,ESR켄달스퀘어리츠,2020-12-23
050120,ES큐브,2002-04-25
383220,F&F,2021-05-21
007700,F&F홀딩스,1984-10-04
078935,GS우,2004-08-05
006360,GS건설,1981-08-03
078930,GS,2004-08-05
012630,HDC,1996-10-16
294870,HDC현대산업개발,2018-06-12
097230,HJ중공업,2007-08-31
014790,HL D&I,1994-08-12
024850,HLB이노베이션,2001-01-18
204320,HL만도,2014-10-06
060980,HL홀딩스,2010-05-19
035000,HS애드,1999-08-11
003560,IHQ,1973-12-18
175330,JB금융지주,2013-07-18
234080,JW생명과학,2016-10-27
001065,JW중외제약우,1994-10-21
001067,JW중외제약2우B,1998-04-13
001060,JW중외제약,1976-06-14
096760,JW홀딩스,2007-07-31
105560,KB금융,2008-10-10
432320,KB스타리츠,2022-10-06
024120,KB오토시스,1994-12-07
009070,KCTC,1978-09-29
044180,KD,2000-11-16
003620,KG모빌리티,1975-05-29
016380,KG스틸,1986-02-03
001390,KG케미칼,1989-08-25
033180,KH 필룩스,2001-12-26
001940,KISCO홀딩스,1989-11-13
025000,KPX케미칼,1994-12-27
092230,KPX홀딩스,2006-10-12
000040,KR모터스,1976-05-25
093050,LF,2006-12-01
003555,LG우,1988-11-18
034220,LG디스플레이,2004-07-23
003550,LG,1970-02-13
051905,LG생활건강우,2001-04-25
051900,LG생활건강,2001-04-25
373220,LG에너지솔루션,2022-01-27
032640,LG유플러스,2008-04-21
011070,LG이노텍,2008-07-24
066575,LG전자우,2002-04-22
066570,LG전자,2002-04-22
051915,LG화학우,2001-04-25
051910,LG화학,2001-04-25
079550,LIG넥스원,2015-10-02
010120,LS ELECTRIC,1994-07-11
000680,LS네트웍스,1973-11-15
006260,LS,1977-06-30
108320,LX세미콘,2022-11-03
001120,LX인터내셔널,1976-01-30
086960,MDS테크,2006-09-26
023150,MH에탄올,1996-12-24
035420,NAVER,2008-11-28
181710,NHN,2013-08-29
338100,NH프라임리츠,2019-12-05
034310,NICE,2004-02-04
008260,NI스틸,1975-06-28
004255,NPC우,1990-01-15
004250,NPC,1969-09-08
456040,OCI,2023-05-30
010955,S-Oil우,1992-05-28
010950,S-Oil,1987-05-27
950110,SBI핀테크솔루션즈,2012-12-17
005090,SGC에너지,1993-01-06
001380,SG글로벌,1976-06-29
001770,SHD,1988-11-23
002360,SH에너지화학,1985-12-23
009160,SIMPAC,1989-07-29
123700,SJM,2010-05-31
025530,SJM홀딩스,1997-02-12
03473K,SK우,2015-08-17
011790,SKC,1997-07-18
018670,SK가스,1997-08-27
001740,SK네트웍스,1977-06-30
210980,SK디앤디,2015-06-23
395400,SK리츠,2021-09-14
034730,SK,2009-11-11
402340,SK스퀘어,2021-11-29
260870,SK시그넷,2017-08-30
361610,SK아이이테크놀로지,2021-05-11
100090,SK오션플랜트,2023-04-19
096775,SK이노베이션우,2007-07-25
096770,SK이노베이션,2007-07-25
001515,SK증권우,1989-08-29
001510,SK증권,1986-09-20
28513K,SK케미칼우,2018-01-05
285130,SK케미칼,2018-01-05
017670,SK텔레콤,1989-11-07
003570,SNT다이내믹스,1976-07-08
064960,SNT모티브,2002-03-11
100840,SNT에너지,2008-02-22
036530,SNT홀딩스,2002-10-22
005610,SPC삼립,1975-05-02
465770,STX그린로지스,2023-09-15
011810,STX,1990-09-12
077970,STX엔진,2004-05-10
071970,STX중공업,2009-05-15
084870,TBH글로벌,2005-12-19
002710,TCC스틸,1984-12-21
024070,WISCOM,1996-11-22
079940,가비아,2005-10-19
078890,가온그룹,2005-07-12
000500,가온전선,1987-06-08
399720,가온칩스,2022-05-20
296520,가이아코퍼레이션,2023-06-20
036620,감성코퍼레이션,2000-01-11
000860,강남제비스코,1975-11-12
217730,강스템바이오텍,2015-12-21
035250,강원랜드,2003-09-04
114190,강원에너지,2009-11-20
094480,갤럭시아머니트리,2007-07-20
011420,갤럭시아에스엠,1989-11-14
039240,경남스틸,2000-03-07
053950,경남제약,2001-11-06
002100,경농,1977-06-30
009450,경동나비엔,1993-08-31
267290,경동도시가스,2017-05-12
012320,경동인베스트,1997-03-07
011040,경동제약,1992-12-18
000050,경방,1956-03-03
214390,경보제약,2015-06-29
012610,경인양행,1995-10-05
009140,경인전자,1989-06-20
024910,경창산업,1994-12-29
013580,계룡건설,1996-01-30
012205,계양전기우,1989-08-02
012200,계양전기,1988-07-06
002140,고려산업,1991-01-14
198440,고려시멘트,2014-08-13
049720,고려신용정보,2002-01-31
010130,고려아연,1990-07-28
002240,고려제강,1976-05-25
014570,고려제약,2000-12-07
348150,고바이오랩,2020-11-18
950190,고스트스튜디오,2020-08-18
098460,고영,2008-06-03
035290,골드앤에스,1999-12-07
215000,골프존,2015-04-03
121440,골프존뉴딘홀딩스,2011-05-20
183410,골프존데카,2013-11-12
366030,공구우먼,2022-03-23
076340,관악산업,2015-05-18
009290,광동제약,1989-11-17
014200,광림,1993-07-07
017040,광명전기,1990-09-14
029480,광무,1996-08-27
017900,광전자,1996-10-16
037710,광주신세계,2002-02-07
026910,광진실업,1996-01-03
397880,교보11호스팩,2021-12-20
421800,교보12호스팩,2022-06-24
440790,교보13호스팩,2022-11-02
456490,교보14호스팩,2023-07-06
465320,교보15호스팩,2023-12-05
030610,교보증권,2002-07-18
339770,교촌에프앤비,2020-11-12
053270,구영테크,2002-02-07
007690,국도화학,1989-08-05
005320,국동,1996-12-24
066620,국보디자인,2002-09-05
001140,국보,1989-12-02
043650,국순당,2000-08-24
006050,국영지앤엠,1994-10-07
060480,국일신동,2014-12-29
078130,국일제지,2004-10-22
307750,국전약품,2018-12-19
002720,국제약품,1975-12-27
243870,굿센,2016-10-31
035080,그래디언트,1999-07-05
114090,GKL,2009-11-19
900290,GRT,2016-10-25
204020,그리티,2018-07-23
402490,그린리소스,2023-11-24
114450,그린생명과학,2009-12-22
083420,그린케미칼,2005-10-20
186230,그린플러스,2019-08-07
014530,극동유화,1991-01-31
083450,GST,2006-02-01
900070,글로벌에스엠,2009-12-23
204620,글로벌텍스프리,2014-11-19
019660,글로본,1992-06-04
014285,금강공업우,1989-07-31
014280,금강공업,1988-09-10
053260,금강철강,2002-01-04
008870,금비,1990-06-08
282720,금양그린파워,2023-03-13
001570,금양,1976-12-17
002995,금호건설우,1988-10-06
002990,금호건설,1976-06-26
011785,금호석유우,1988-10-20
011780,금호석유,1988-01-22
214330,금호에이치티,2015-11-11
001210,금호전기,1973-11-15
073240,금호타이어,2005-02-17
036190,금화피에스시,2000-12-26
049080,기가레인,2013-12-19
420770,기가비스,2023-05-24
035460,기산텔레콤,1999-11-18
092440,기신정기,2007-10-30
000270,기아,1973-07-21
456700,길교이앤씨,2023-07-26
013700,까뮤이앤씨,1989-11-30
308100,까스텔바작,2019-06-10
004545,깨끗한나라우,1988-11-21
004540,깨끗한나라,1975-06-25
407400,꿈비,2023-02-09
187790,나노,2014-05-08
286750,나노브릭,2019-08-19
121600,나노신소재,2011-02-09
247660,나노씨엠에스,2021-03-09
039860,나노엔텍,2000-08-16
091970,나노캠텍,2007-01-30
417010,나노팀,2023-03-03
244880,나눔테크,2016-06-01
405920,나라셀라,2023-06-02
288490,나라소프트,2018-11-23
051490,나라엠앤디,2001-06-12
137080,나래나노텍,2022-02-08
190510,나무가,2015-11-12
242040,나무기술,2016-09-07
089600,나스미디어,2013-07-17
293580,나우IB,2018-10-04
257990,나우코스,2020-12-30
138610,나이벡,2011-07-13
130580,나이스디앤비,2011-12-22
036800,나이스정보통신,2000-05-03
030190,NICE평가정보,2023-08-08
267320,나인테크,2017-06-22
001260,남광토건,1976-12-28
008355,남선알미우,1989-12-23
008350,남선알미늄,1978-05-22
004270,남성,1989-11-14
003925,남양유업우,1988-06-20
003920,남양유업,1978-06-24
025860,남해화학,1995-11-10
111710,남화산업,2018-11-29
091590,남화토건,2012-01-31
168330,내츄럴엔도텍,2013-10-31
094860,네오리진,2007-04-16
253590,네오셈,2018-04-04
212560,네오오토,2015-11-18
095660,네오위즈,2007-07-02
042420,네오위즈홀딩스,2000-06-27
950220,네오이뮨텍,2021-03-16
311390,네오크레마,2019-08-22
085910,네오티스,2007-10-01
092730,네오팜,2007-01-30
290660,네오펙트,2018-11-28
306620,네온테크,2018-10-31
153460,네이블,2012-07-19
007390,네이처셀,1992-11-30
033640,네패스,1999-12-14
330860,네패스아크,2020-11-17
005725,넥센우,1989-09-23
005720,넥센,1987-12-19
002355,넥센타이어1우B,1999-06-08
002350,넥센타이어,1976-05-19
089140,넥스턴바이오,2006-11-01
137940,넥스트아이,2011-06-14
160550,NEW,2014-12-23
396270,넥스트칩,2022-07-01
348210,넥스틴,2020-10-08
092790,넥스틸,2023-08-21
225570,넥슨게임즈,2015-09-25
217270,넵튠,2015-06-18
251270,넷마블,2017-05-12
317860,노드메이슨,2019-12-06
104620,노랑풍선,2019-01-30
090355,노루페인트우,2006-07-03
090350,노루페인트,2006-07-03
000325,노루홀딩스우,1989-01-21
000320,노루홀딩스,1973-08-10
194700,노바렉스,2018-11-14
285490,노바텍,2018-11-02
283100,노보믹스,2023-04-19
229500,노브메타파마,2015-10-28
106520,노블엠앤비,2012-07-13
